Order_ID,Order_Date,Order_Time,Delivery_Time,Hub_Region,Distance_KM,Delivery_Duration_Min,Is_On_Time,Delivery_Fee_Charged,Payout_to_Driver,Customer_Rating,Order_Value_INR,Net_Profit_INR
BLK148922,2025-01-01,09:59,10:27,South Hub,8.7,28,1,15,26.4,4.4,1694,182
BLK115165,2025-01-01,22:44,23:16,East Hub,5.44,32,0,35,31.88,3.8,1622,178
BLK147637,2025-01-01,10:21,10:43,South Hub,1.76,22,1,15,12.52,4.4,2083,204
BLK113956,2025-01-01,08:58,09:27,North Hub,6.34,29,1,35,33.68,4.5,1515,147
BLK140079,2025-01-01,13:15,13:51,North Hub,11.7,36,0,49,52.8,3.4,1813,204
BLK122933,2025-01-01,16:58,17:33,East Hub,5.76,35,0,15,20.52,4.9,954,87
BLK137688,2025-01-01,15:23,15:56,West Hub,10.7,33,0,15,30.4,3.7,235,27
BLK130200,2025-01-01,12:44,13:08,West Hub,1.68,24,1,15,12.36,4.5,1976,173
BLK102070,2025-01-01,20:11,20:37,North Hub,3.89,26,1,35,28.78,4.2,1118,93
BLK122930,2025-01-01,14:08,14:35,West Hub,6.61,27,1,15,22.22,4.1,2365,202
BLK125950,2025-01-01,10:31,10:52,West Hub,6.19,21,1,35,33.38,4.4,456,37
BLK114148,2025-01-01,11:17,11:58,East Hub,9.88,41,0,35,40.76,2.6,1746,170
BLK111259,2025-01-01,12:09,12:36,South Hub,10.64,27,1,25,36.28,4.3,1180,113
BLK132689,2025-01-01,09:10,09:43,North Hub,7.32,33,0,15,23.64,3.8,2069,210
BLK106666,2025-01-01,20:34,20:57,West Hub,4.29,23,1,25,23.58,4.4,757,66
BLK103275,2025-01-01,18:03,18:33,East Hub,7.19,30,1,49,43.78,4.1,961,112
BLK137098,2025-01-01,19:16,19:37,South Hub,2.5,21,1,25,20.0,4.8,1298,123
BLK140098,2025-01-01,13:38,14:08,West Hub,7.59,30,1,15,24.18,4.3,809,79
